35180,Port Itapoa ***Brazil ***
35198,Portel ***Brazil ***
35167,Porto Alegre ***Brazil ***
35199,Portocel ***Brazil ***
35160,Praia Mole ***Brazil ***
35169,Recife ***Brazil ***
35171,Rio de Janeiro ***Brazil ***
35173,Rio Grande ***Brazil ***
35181,Salvador ***Brazil ***
35167,Santa Clara ***Brazil ***
35165,Santana ***Brazil ***
35198,Santarem ***Brazil ***
35177,Santos ***Brazil ***
35179,Sao Francisco do Sul ***Brazil ***
35135,Sao Luiz de Maranhao ***Brazil ***
35198,Sao Miguel dos Macaos ***Brazil ***
35177,Sao Paulo ***Brazil ***
35175,Sao Sebastio ***Brazil ***
35170,Saupe ***Brazil ***
35185,Sepetiba Bay; Itaguai ***Brazil ***
35107,Tebig ***Brazil ***
35198,Termisa Terminal ***Brazil ***
35161,Tramandai ***Brazil ***
35176,Trombetas ***Brazil ***
35160,Tubarao ***Brazil ***
35163,Tutoia ***Brazil ***
35198,Urucara ***Brazil ***
35195,Vitoria; Victoria ***Brazil ***
35121,Vila do Conde ***Brazil ***
78100,All Other British Indian Ocean Territory ***British Indian Ocean Territory ***
78101,Diego Garcia ***British Indian Ocean Territory ***
91151,24815 Port Purcell ***British Virgin Islands ***
24815,"Road Harbour, Tortola ***British Virgin Islands ***"
24815,"Road Town, Tortola Island ***British Virgin Islands ***"
24813,Virgin Gorda ***British Virgin Islands ***
56100,All Other Brunei Ports ***Brunei ***
56100,Lumut ***Brunei ***
56151,Muara Port ***Brunei ***
56150,Seria ***Brunei ***
48700,All Other Bulgaria Ports ***Bulgaria ***
48702,Burgas; Bourgas ***Bulgaria ***
48707,Varna ***Bulgaria ***
54600,All Other Burma Ports ***Burma (Myanmar) ***
54600,Tavoy ***Burma (Myanmar) ***
54601,Yangon; Rangoon ***Burma (Myanmar) ***
55500,All Ports in Cambodia ***Cambodia ***
55500,Kampong Saom ***Cambodia ***
55500,Kampot ***Cambodia ***
55500,Phnom Penh ***Cambodia ***
55500,Sihanoukville ***Cambodia ***
74299,All Other Cameroon Ports ***Cameroon ***
74201,Bonaberi ***Cameroon ***
74298,Limbe; Cap Limboh; Limboh Terminal; Cap Limboah; Victoria ***Cameroon ***
74201,Douala ***Cameroon ***
74297,Garoua ***Cameroon ***
74201,Kole Terminal ***Cameroon ***
74213,Kribi ***Cameroon ***
74296,Moudi Terminal ***Cameroon ***
74298,Tiko ***Cameroon ***
